timestamp,vin,event_type,latitude,longitude,speed_kmh,odometer_km,ignition_state,key_fob_id,technician_id,geofence_zone,dtc_code,location_label
2026-08-20 02:30:00,1HGCM82633A004352,ODOMETER_READING,6.5244,3.3792,0,82340.0,ON,,,,,Lagos - NG (unexpected)
2026-08-20 02:35:00,1HGCM82633A004352,GEOFENCE_BREACH,6.5244,3.3792,0,82340.0,ON,,,Unauthorized Border Crossing - Zone 7,,Lagos - NG (unexpected)
2026-08-20 02:40:00,1HGCM82633A004352,IGNITION_OFF,6.5244,3.3792,0,82340.0,OFF,,,,,Lagos - NG (unexpected)
2026-08-20 08:00:00,1HGCM82633A004352,IGNITION_ON,13.0827,80.2707,0,82340.0,ON,FOB-1187,,,,Meridian Depot - Chennai
2026-08-20 08:20:00,1HGCM82633A004352,GPS_PING,13.0902,80.2790,36,82348.2,ON,,,,,
2026-08-20 09:00:00,1HGCM82633A004352,GPS_PING,13.1005,80.2850,40,82355.0,ON,,,,,
2026-08-20 09:40:00,1HGCM82633A004352,GPS_PING,13.0827,80.2707,10,82361.4,ON,,,,,Meridian Depot - Chennai
2026-08-20 10:00:00,1HGCM82633A004352,IGNITION_OFF,13.0827,80.2707,0,82361.4,OFF,FOB-1187,,,,Meridian Depot - Chennai
2026-08-19 07:50:00,3FADP4EJ1BM145236,IGNITION_ON,13.0700,80.2500,0,95210.0,ON,FOB-2044,,,,Meridian Depot - Chennai
2026-08-19 08:10:00,3FADP4EJ1BM145236,GPS_PING,13.0750,80.2600,30,95215.5,ON,,,,,
2026-08-19 08:40:00,3FADP4EJ1BM145236,GPS_PING,13.0850,80.2700,42,95222.7,ON,,,,,
2026-08-19 09:20:00,3FADP4EJ1BM145236,GPS_PING,13.0950,80.2800,38,95229.9,ON,,,,,
2026-08-19 10:00:00,3FADP4EJ1BM145236,GPS_PING,13.0850,80.2700,35,95236.0,ON,,,,,
2026-08-19 10:45:00,3FADP4EJ1BM145236,GPS_PING,13.0750,80.2600,28,95242.3,ON,,,,,
2026-08-19 11:30:00,3FADP4EJ1BM145236,GPS_PING,13.0700,80.2500,5,95248.0,ON,,,,,Meridian Depot - Chennai
2026-08-19 12:00:00,3FADP4EJ1BM145236,IGNITION_OFF,13.0700,80.2500,0,95248.0,OFF,FOB-2044,,,,Meridian Depot - Chennai
2026-08-19 13:00:00,3FADP4EJ1BM145236,IGNITION_ON,13.0700,80.2500,0,95248.0,ON,FOB-2044,,,,Meridian Depot - Chennai
2026-08-19 13:30:00,3FADP4EJ1BM145236,GPS_PING,13.0800,80.2650,33,95254.1,ON,,,,,
2026-08-19 14:15:00,3FADP4EJ1BM145236,GPS_PING,13.0900,80.2750,40,95261.8,ON,,,,,
2026-08-19 15:00:00,3FADP4EJ1BM145236,GPS_PING,13.0800,80.2650,29,95268.0,ON,,,,,
2026-08-19 15:40:00,3FADP4EJ1BM145236,IGNITION_OFF,13.0700,80.2500,0,95273.5,OFF,FOB-2044,,,,Meridian Depot - Chennai
2026-08-20 08:05:00,3FADP4EJ1BM145236,IGNITION_ON,13.0700,80.2500,0,95273.5,ON,FOB-2044,,,,Meridian Depot - Chennai
2026-08-20 08:45:00,3FADP4EJ1BM145236,GPS_PING,13.0800,80.2650,37,95280.0,ON,,,,,
2026-08-20 09:30:00,3FADP4EJ1BM145236,GPS_PING,13.0700,80.2500,6,95286.4,ON,,,,,Meridian Depot - Chennai
2026-08-20 10:00:00,3FADP4EJ1BM145236,IGNITION_OFF,13.0700,80.2500,0,95286.4,OFF,FOB-2044,,,,Meridian Depot - Chennai
